nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Martin,Julien,M,1982-12-18,Option C,Japonaise,Bordeaux,Italie,88.5
Miller,Joseph,F,1990-06-27,Option A,Japonaise,Montreal,Portugal,15.0
Jones,David,F,1979-08-03,Option C,Canadienne,Lyon,Australie,39.0
Jones,James,M,1971-09-04,Option A,Marocaine,Oujda,Argentine,63.0
El Idrissi,Jessica,M,1971-07-04,Option C,Allemande,Kenitra,Italie,39.0
Richard,Mehdi,M,1976-11-11,Option A,Marocaine,Kenitra,Argentine,40.5
Smith,Barbara,F,1968-04-10,Option B,Canadienne,Madrid,Canada,45.75
Moreau,Michael,M,1984-01-12,Option C,Canadienne,Tanger,Maroc,61.5
Lahlou,Sophie,F,1969-04-11,Option C,Canadienne,Madrid,UK,31.5
Jones,Chloé,M,1971-02-06,Option C,Marocaine,Oujda,Égypte,64.5
Smith,Marie,F,1970-12-12,Option B,Allemande,Bordeaux,Australie,45.0
Moreau,Sophie,F,1982-06-14,Option B,Française,Rabat,UK,43.5
Essadiq,Zineb,M,2006-06-27,Option C,Marocaine,Madrid,Portugal,88.5
Richard,Mohamed,M,2005-03-26,Option A,Espagnole,Rome,Brésil,40.5
Mouline,Marie,F,1972-01-13,Option C,Canadienne,Agadir,Belgique,35.25
Durand,Amina,M,2006-12-18,Option C,Marocaine,Madrid,Australie,58.5
Dubois,Karim,F,1993-03-06,Option C,Canadienne,Lyon,Tunisie,24.0
Brown,Sophie,F,1999-07-14,Option C,Japonaise,Rabat,UK,39.0
Williams,Susan,F,2006-04-06,Option B,Canadienne,Rabat,Belgique,42.75
Rodriguez,Youssef,M,2006-10-07,Option B,Française,Casablanca,Allemagne,72.0
Smith,Julien,F,2007-09-28,Option C,Allemande,Marseille,Espagne,18.0
El Idrissi,Nour,F,1995-08-10,Option A,Française,Fès,Japon,24.75
Williams,Jessica,M,1990-11-15,Option C,Japonaise,Paris,Chine,63.0
Davis,Louis,F,1979-08-03,Option C,Française,Bruxelles,Canada,27.75
Jones,Antoine,M,1960-06-25,Option B,Française,Casablanca,Belgique,52.5
Garcia,Omar,F,1982-05-04,Option B,Canadienne,Meknès,Brésil,36.0
Mahmoud,Emma,F,1990-01-17,Option A,Française,Paris,Allemagne,32.25
Robert,Sanae,M,1980-02-28,Option B,Canadienne,Tanger,Inde,31.5
Dubois,Michael,F,1990-11-25,Option A,Américaine,Madrid,Japon,21.75
Garcia,Chloé,M,2001-04-16,Option C,Espagnole,Madrid,Portugal,90.0
Othmani,Karen,F,1993-12-03,Option C,Japonaise,Rabat,UK,45.75
Petit,Robert,M,1968-06-02,Option C,Japonaise,Bordeaux,Italie,55.5
Robert,Marc,M,2006-07-20,Option C,Marocaine,Casablanca,Égypte,94.5
Lahlou,Ikram,M,1970-07-16,Option B,Marocaine,Londres,Argentine,31.5
Jones,Karim,M,2003-10-11,Option C,Marocaine,Meknès,Australie,57.0
Fathy,Ali,M,1996-09-13,Option C,Japonaise,Fès,Chine,55.5
Brown,Jennifer,F,1968-02-17,Option A,Marocaine,Tanger,Tunisie,32.25
El Amrani,Jennifer,F,1965-08-08,Option C,Américaine,Rabat,Inde,43.5
Jones,Joseph,F,1964-04-22,Option C,Canadienne,Lisbonne,Australie,13.5
Jones,Julie,F,1969-08-09,Option B,Japonaise,Rabat,Espagne,27.75
Durand,Christopher,M,1960-03-20,Option B,Française,Casablanca,Mexique,36.0
Wilson,Ahmed,F,1965-07-02,Option B,Canadienne,Madrid,Espagne,45.75
Dupont,Mehdi,F,1982-03-02,Option C,Allemande,Genève,France,16.5
Garcia,Julien,M,2005-01-27,Option B,Française,Montreal,Australie,46.5
Johnson,David,M,1982-11-21,Option C,Marocaine,Madrid,Australie,79.5
Richard,Nour,F,1990-12-01,Option B,Française,Rabat,Brésil,28.5
Robert,Robert,M,2006-06-27,Option C,Française,Lyon,Espagne,42.0
Moreau,Julien,M,1962-11-16,Option B,Japonaise,Marrakech,UK,81.0
Wilson,Omar,F,1981-11-15,Option B,Espagnole,Montreal,Brésil,38.25
Laurent,Mathieu,M,1983-03-17,Option C,Allemande,Agadir,Suisse,88.5
El Amrani,Marwa,M,1982-03-17,Option C,Française,Bordeaux,Allemagne,73.5
Brown,James,F,1992-03-18,Option B,Canadienne,Bruxelles,USA,30.0
Laurent,Marc,F,1984-01-12,Option B,Française,Kenitra,Allemagne,22.5
Martin,Aicha,F,1978-01-26,Option C,Marocaine,Tanger,UK,30.75
Rodriguez,Salma,F,2005-12-09,Option C,Canadienne,Madrid,Égypte,18.0
Adel,Marie,F,1972-10-22,Option C,Marocaine,Rome,Brésil,44.25
El Amrani,Zineb,M,1994-02-21,Option B,Canadienne,Madrid,Brésil,84.0
Smith,Mary,F,1999-07-11,Option A,Allemande,Oujda,UK,34.5
Khaled,Camille,M,1990-12-11,Option C,Française,Rome,Japon,57.0
Laurent,Jessica,F,1979-09-23,Option C,Canadienne,Rome,Italie,35.25
Williams,Nour,F,1975-07-11,Option C,Marocaine,Marrakech,Japon,24.0
Bernard,Ali,M,1964-05-14,Option A,Canadienne,Marseille,UK,52.5
Dubois,Sophie,M,1968-07-05,Option B,Allemande,Montreal,Italie,76.5
Miller,Mathieu,F,1984-01-12,Option B,Française,Marseille,Maroc,31.5
Smith,John,M,1979-08-21,Option A,Française,Oujda,Canada,69.0
Khaled,Susan,M,1974-01-03,Option C,Française,Rabat,Brésil,91.5
Miller,Karim,F,1980-04-24,Option A,Canadienne,Kenitra,UK,32.25
Laurent,Camille,F,1998-03-20,Option C,Canadienne,Londres,Inde,18.0
Jones,Claire,F,1982-07-23,Option A,Canadienne,Tétouan,UK,17.25
Davis,Linda,M,1973-08-28,Option B,Française,Kenitra,Portugal,45.0
Adel,Laila,M,1962-11-16,Option C,Américaine,Rabat,Argentine,45.0
Robert,Linda,F,1993-03-20,Option C,Allemande,Madrid,Allemagne,20.25
Hassan,Michael,M,1991-01-02,Option C,Espagnole,Casablanca,Brésil,81.0
Robert,Robert,F,1973-03-16,Option B,Canadienne,Montreal,Japon,22.5
Martin,Linda,F,1973-12-20,Option A,Marocaine,Kenitra,Australie,45.75
Richard,Sanae,F,1998-11-24,Option A,Marocaine,New York,Espagne,36.0
Davis,Ahmed,F,1982-12-14,Option C,Marocaine,Casablanca,UK,18.0
Garcia,Marie,F,2007-09-25,Option A,Marocaine,Londres,Inde,33.0
Jones,Salma,M,1980-12-18,Option B,Française,Kenitra,Allemagne,54.0
Mohamed,Michael,M,1965-10-19,Option B,Marocaine,Casablanca,Japon,54.0
Richard,Hugo,M,1981-07-20,Option C,Française,Meknès,Espagne,76.5
Hassan,Thomas,F,1987-08-21,Option C,Espagnole,Casablanca,Japon,46.5
Khaled,Christopher,M,1993-11-04,Option C,Française,Rabat,Australie,61.5
Miller,Salma,F,1996-12-15,Option C,Marocaine,Fès,Allemagne,36.75
Johnson,Linda,F,1963-10-05,Option C,Canadienne,Fès,Maroc,31.5
Lahlou,Karim,F,1995-10-19,Option C,Canadienne,Kenitra,UK,20.25
Davis,Michael,M,1977-07-18,Option B,Canadienne,Meknès,Portugal,54.0
Smith,Karen,M,1990-04-14,Option B,Canadienne,Agadir,Mexique,94.5
Lahlou,Sophie,M,1982-11-18,Option C,Française,Madrid,UK,91.5
Jones,Omar,M,1963-09-02,Option B,Française,Casablanca,Allemagne,52.5
Benali,Amina,M,1989-06-01,Option C,Française,New York,Allemagne,28.5
El Amrani,Ikram,F,1962-10-04,Option A,Américaine,Casablanca,Mexique,37.5
Benali,Hugo,F,1998-10-22,Option A,Française,Bruxelles,Allemagne,43.5
El Amrani,Elizabeth,F,1976-09-06,Option C,Marocaine,Casablanca,Maroc,33.0
Chentouf,Sophie,F,1960-12-26,Option B,Française,Kenitra,Espagne,39.75
Moreau,Julien,M,2004-05-13,Option C,Américaine,Oujda,Espagne,43.5
Rodriguez,Karen,M,1962-04-03,Option B,Espagnole,Rabat,Mexique,90.0
El Haddad,Elizabeth,F,2001-08-06,Option B,Française,Lisbonne,Australie,42.0
Williams,Antoine,F,1966-09-10,Option B,Américaine,Marrakech,Espagne,40.5
Garcia,Marie,F,1977-10-19,Option C,Canadienne,Genève,Japon,43.5
Garcia,Karim,F,1965-12-04,Option B,Canadienne,Bordeaux,Suisse,34.5
Mahmoud,James,M,1979-09-23,Option B,Marocaine,Rabat,Allemagne,40.5
Robert,Samir,M,1964-01-28,Option C,Japonaise,Berlin,Maroc,43.5
Martin,Patricia,F,1966-02-19,Option A,Américaine,Fès,Allemagne,45.75
Martin,Marc,F,1997-06-22,Option C,Canadienne,Lyon,Brésil,18.0
Laurent,Karim,M,2003-02-11,Option A,Japonaise,Montreal,UK,90.0
Laurent,Patricia,F,1983-01-05,Option A,Allemande,Lyon,Espagne,17.25
Benali,Sophie,M,1981-06-05,Option C,Marocaine,Bruxelles,Suisse,37.5
Mahmoud,Marie,F,1999-10-04,Option C,Canadienne,Paris,Égypte,27.0
El Amrani,Fatima,F,2006-01-14,Option C,Marocaine,New York,UK,45.75
Chentouf,Zineb,F,1986-05-13,Option C,Marocaine,Oujda,Portugal,25.5
Hassan,Patricia,F,1960-05-22,Option A,Japonaise,Rome,Égypte,25.5
Jones,Sarah,F,1987-03-19,Option B,Américaine,Kenitra,Australie,27.0
Miller,William,F,1979-06-21,Option B,Canadienne,Lisbonne,UK,25.5
El Amrani,Mehdi,M,1994-06-23,Option C,Marocaine,Casablanca,Allemagne,88.5
Wilson,Luc,M,1963-11-21,Option B,Française,Paris,Brésil,72.0
Richard,Michael,F,1975-09-16,Option A,Américaine,Rome,France,14.25
Richard,James,M,1974-02-21,Option C,Espagnole,Paris,Tunisie,66.0
Miller,David,F,1982-01-12,Option B,Canadienne,Casablanca,UK,45.75
El Amrani,Jennifer,M,2001-03-09,Option C,Française,Tanger,Argentine,69.0
Davis,Hassan,M,1973-08-13,Option B,Française,Rabat,UK,33.0
Mohamed,Zineb,M,2003-02-26,Option A,Espagnole,Agadir,Argentine,43.5
Robert,Omar,M,1984-07-19,Option C,Française,Madrid,Égypte,91.5
Bernard,Julien,F,2006-07-27,Option C,Espagnole,Casablanca,Allemagne,37.5
Brown,Susan,M,1966-03-19,Option C,Marocaine,Tokyo,Australie,88.5
Williams,Fatima,M,1991-03-04,Option B,Japonaise,Bordeaux,Chine,31.5
Smith,Rachid,M,1984-01-04,Option B,Espagnole,Montreal,USA,61.5
Hassan,Emma,M,1974-01-03,Option C,Marocaine,Madrid,Mexique,72.0
Rodriguez,Zineb,F,1974-01-24,Option A,Japonaise,Montreal,Australie,36.75
Mohamed,Luc,M,2003-09-02,Option C,Marocaine,Fès,UK,91.5
Dupont,Omar,M,1984-11-21,Option C,Américaine,Rabat,Chine,73.5
Richard,Joseph,F,1962-01-13,Option B,Canadienne,Meknès,UK,28.5
Davis,Michael,M,1979-06-06,Option C,Canadienne,Agadir,Chine,46.5
Dubois,Julie,F,2006-12-10,Option A,Canadienne,Fès,Espagne,18.0
Smith,Antoine,F,1974-07-18,Option A,Française,Tanger,Canada,36.0
Robert,Nour,F,1977-10-20,Option C,Marocaine,Casablanca,Allemagne,16.5
Johnson,Rachid,F,1982-10-02,Option C,Française,Lyon,Australie,23.25
Richard,Fatima,M,1965-05-26,Option B,Française,Madrid,Inde,91.5
Dupont,James,M,1973-06-02,Option C,Canadienne,New York,UK,94.5
Dubois,Ali,M,2007-09-08,Option C,Américaine,Casablanca,Canada,61.5
Othmani,Emma,M,1961-11-15,Option B,Japonaise,Kenitra,Égypte,81.0
Richard,William,M,1988-10-25,Option C,Américaine,Meknès,Maroc,87.0
Jones,Karen,M,1978-07-15,Option C,Japonaise,Rabat,Mexique,78.0
Jones,Jean,F,1976-06-16,Option C,Allemande,Montreal,USA,27.75
El Idrissi,Marc,M,1966-05-07,Option A,Espagnole,Berlin,Japon,85.5
Bernard,Sarah,F,1974-01-03,Option A,Espagnole,Paris,Mexique,33.75
Brown,Sophie,M,1999-07-14,Option C,Marocaine,Bruxelles,Égypte,78.0
Othmani,Linda,F,1967-08-01,Option C,Canadienne,Toulouse,France,37.5
Johnson,Sarah,F,1989-03-03,Option C,Française,Madrid,Chine,18.0
Martin,Nour,M,1990-07-16,Option C,Allemande,Fès,Allemagne,33.0
Miller,Antoine,M,1966-01-06,Option C,Française,Rabat,Égypte,60.0
Davis,Sophie,F,1989-08-27,Option C,Canadienne,Meknès,Japon,46.5
El Amrani,Omar,M,1968-06-04,Option B,Américaine,Rabat,Brésil,42.0
