id,nom,prenom,genre,age,pays,ville,type_etablissement,etablissement,niveau,email,moyenne,absence,diplome
STU_001548,El Amrani,Lucas,M,8,Maroc,Bristol,Elementary School,Lycée Louis le Grand,First Year,noah.smith210@school.edu,17.051197234077495,9,Doctorado
STU_001376,García,Emily,M,7,Canada,Marrakech,Lycée,Oak Elementary,Year 7,leo.simon726@school.edu,16.895407552422768,9,Baccalauréat
STU_000036,Idrissi,Charlotte,F,5,France,Birmingham,Université,Maple Elementary,4º Primaria,nour.tazi146@school.edu,16.20596906455676,5,Baccalauréat
STU_001314,Miller,Jessica,F,9,UK,Nantes,Elementary School,University of Oxford,Grade 2,omar.sqalli361@school.edu,13.482007083708085,9,A-Level
STU_000507,Schulz,Valeria,M,12,France,Rabat,Lycée,Jefferson Elementary,Year 6,ava.miller195@school.edu,15.353060207328642,7,Licence
STU_000537,Simon,Hugo,M,8,USA,Köln,Lycée,École Jean Jaurès,Year 11,olivia.johnson686@school.edu,13.86862208948475,8,High School Diploma
STU_000311,Benali,Hugo,M,4,Canada,Stuttgart,Primary School,Toronto High School,Première,louis.martin537@school.edu,13.124408370859138,9,Master's Degree
STU_000626,Johnson,Liam,M,4,Canada,Liverpool,University,Eton College,Grade 6,john.garcia3@school.edu,12.244244785692628,11,Bachelor's
STU_001625,Pérez,Hassan,F,22,Espagne,Zaragoza,Primaria,Université Cadi Ayyad,Grade 7,william.roy135@edu,13.239997606859454,16,Grado
STU_000437,Tremblay,Arthur,M,7,Allemagne,Düsseldorf,Lycée,Collège Jean Moulin,Tronc Commun,lucas.perez989@school.edu,13.369914932223026,4,PhD
STU_001870,Alaoui,Isabella,M,15,France,Agadir,Collège,École Mohammed V,4ème,charlotte.wilson112@school.edu,11.790567060746811,7,Doctorat
STU_000273,Davies,Benjamin,M,4,UK,Oxford,Secondary School,Washington Elementary,Third Year,amelia.thomas860@school.edu,12.878981772979643,6,Master's
STU_001562,Bennani,Léo,F,10,Espagne,Zaragoza,Universidad,Colegio Cervantes,1º Curso,sophia.hoffmann869@school.edu,16.753170037692872,15,Bachillerato
STU_000759,Martín,Ali,M,20,Allemagne,Barcelona,École Primaire,Oak Elementary,3ème AC,alba.fernández821@school.edu,16.625944696829784,8,Abitur
STU_000784,Schulz,Chloe,M,14,France,Boston,École Primaire,Universität München,5ème année,amelia.garcia301@school.edu,14.184580379801032,8,Certificat Primaire
STU_001430,Robert,Emma,M,3,Allemagne,Paris,Primary School,Collège Molière,Première,charlie.taylor716@school.edu,13.654532902643577,2,PhD
STU_001126,Davis,Noah,M,5,Allemagne,Houston,Universität,École Mohammed V,Year 4,omar.bennani613@school.edu,13.726536247968712,10,PhD
STU_000094,MacDonald,Daniel,F,5,Canada,Agadir,Gymnasium,Kant-Gymnasium,Première,sanae.bennani510@school.edu,12.27598336269754,9,Master
STU_000514,Fernández,Lucas,M,5,France,Edmonton,Secundaria,Universität Hamburg,Seconde,jessica.evans182@school.edu,15.476034563291961,1,Baccalauréat
STU_001281,Smith,Omar,F,6,Allemagne,Casablanca,Grundschule,Jefferson Elementary,S3,noah.dupont409@school.edu,12.678622658061753,1,Master
STU_001717,García,María,M,21,Maroc,Bordeaux,Primaria,Colegio Cervantes,Klasse 7,evelyn.smith621@school.edu,16.253524085765978,8,Brevet
STU_000278,Johnson,Amelia,M,8,UK,Chicago,Secondary School,Victoria Primary,Grade 6,david.williams98@edu,16.136403650185,6,PhD
STU_000495,Becker,Anna,F,9,Allemagne,München,Universität,Kant-Gymnasium,Klasse 4,jack.martin408@edu,13.803211549027916,13,Abitur
STU_001820,Dupont,Ahmed,F,11,Maroc,Liverpool,Secondary School,Universität Hamburg,3ème AC,ava.brown368@school.edu,12.908485225417708,4,A-Level
STU_001480,Taylor,Amelia,M,6,UK,Boston,University,University of Oxford,Second Year,isla.taylor11@school.edu,16.45783478013312,2,GCSE
STU_001036,Evans,Mathis,M,12,Allemagne,Málaga,Middle School,Westminster School,S3,luis.muller910@school.edu,16.709347643072924,4,Bachelor's Degree
