nom,prenom,genre,Date_de_naissance,Lieu_de_naissance,nationalite,ville,pays,age
Rodriguez,Nicolas,M,1979-01-26,Option B,Américaine,Meknès,Portugal,46
Adel,Pierre,M,1974-06-07,Option C,Japonaise,Marseille,Brésil,51
Mahmoud,James,M,1990-10-28,Option C,Allemande,Genève,Australie,35
Williams,Sarah,F,2001-11-03,Option C,Canadienne,Bruxelles,Argentine,24
Brown,Pierre,M,1979-04-10,Option A,Marocaine,Madrid,Égypte,46
Adel,Ali,M,1977-11-10,Option A,Américaine,Marrakech,Espagne,48
Johnson,Salma,F,1983-12-15,Option B,Marocaine,Madrid,Japon,42
Brown,Ahmed,M,1970-10-10,Option A,Américaine,Berlin,Allemagne,55
El Haddad,Karen,F,1994-10-19,Option C,Américaine,Oujda,USA,31
Smith,Jessica,F,2000-01-24,Option C,Canadienne,Bruxelles,Australie,25
Miller,Jean,M,1981-10-10,Option C,Américaine,Lisbonne,Argentine,44
Martin,Sarah,F,2006-02-17,Option A,Canadienne,Fès,Chine,19
Davis,Hugo,M,1991-08-07,Option C,Française,Bruxelles,Tunisie,34
Garcia,Samir,M,1971-07-20,Option B,Marocaine,Oujda,Argentine,54
Moreau,Léa,F,1994-11-09,Option A,Canadienne,Marseille,Allemagne,31
Moreau,Karen,F,1983-06-02,Option C,Japonaise,Paris,Suisse,42
Martin,Sarah,F,1978-01-01,Option C,Espagnole,Genève,Portugal,47
Jones,Nicolas,M,1979-09-20,Option A,Marocaine,Marrakech,Australie,46
Durand,Hassan,M,1988-05-19,Option A,Espagnole,Agadir,USA,37
Fathy,James,M,1987-04-28,Option B,Japonaise,Londres,Brésil,38
Mohamed,Julien,M,1986-08-13,Option A,Allemande,Kenitra,Tunisie,39
Dubois,Joseph,M,1973-04-09,Option C,Japonaise,Meknès,Brésil,52
Mouline,Elizabeth,F,1971-09-22,Option B,Française,Casablanca,USA,54
Benali,Mary,F,1992-02-12,Option C,Allemande,Genève,Espagne,33
Moreau,Jessica,F,1965-10-11,Option C,Allemande,Tétouan,Maroc,60
Martin,Sanae,F,1991-07-09,Option C,Américaine,Rome,Australie,34
Moreau,Mehdi,M,1992-06-19,Option A,Japonaise,Tétouan,Japon,33
Richard,Marc,M,2006-07-16,Option A,Américaine,Bruxelles,Chine,19
Lahlou,Chloé,F,2004-05-16,Option C,Japonaise,Casablanca,Canada,21
Wilson,Aicha,F,1987-01-19,Option A,Allemande,Oujda,Mexique,38
Chentouf,Patricia,F,1969-05-07,Option C,Américaine,Meknès,Tunisie,56
Rodriguez,Patricia,F,1974-03-22,Option A,Espagnole,Tanger,Belgique,51
Miller,Julien,M,1978-05-17,Option A,Marocaine,Lyon,UK,47
Chentouf,Aicha,F,2002-10-22,Option A,Japonaise,Tanger,Suisse,23
Dubois,Nour,F,1991-08-01,Option B,Japonaise,Meknès,Argentine,34
Moreau,Antoine,M,1969-02-15,Option A,Américaine,Tanger,Portugal,56
Williams,Julie,F,1983-04-28,Option B,Japonaise,Bordeaux,Espagne,42
Wilson,Barbara,F,2003-02-11,Option B,Allemande,Marseille,Suisse,22
Robert,Mary,F,2003-09-10,Option B,Américaine,Tétouan,Inde,22
Moreau,Julien,M,1988-08-24,Option C,Américaine,Fès,UK,37
Miller,David,M,1992-04-05,Option A,Canadienne,Rabat,Brésil,33
Garcia,Joseph,M,1967-04-13,Option C,Espagnole,Casablanca,Chine,58
Mouline,Claire,F,1971-09-13,Option B,Espagnole,Bordeaux,Canada,54
Bernard,Louis,M,1968-02-27,Option A,Canadienne,New York,Allemagne,57
Mahmoud,Daniel,M,1999-08-02,Option C,Allemande,Bruxelles,Inde,26
El Amrani,David,M,2003-01-26,Option B,Marocaine,Marrakech,France,22
Brown,Zineb,F,1966-03-09,Option C,Japonaise,Tanger,UK,59
Durand,Pierre,M,2006-12-03,Option C,Française,Marrakech,Inde,19
Hassan,Mehdi,M,1999-09-07,Option A,Japonaise,Oujda,Brésil,26
Davis,Mohamed,M,1965-10-01,Option A,Française,Marrakech,Mexique,60
Mahmoud,Samir,M,1972-10-21,Option C,Espagnole,Tanger,Italie,53
Garcia,Ikram,F,1986-09-28,Option A,Allemande,Lyon,Italie,39
Adel,Rachid,M,1986-03-25,Option A,Marocaine,Bruxelles,Maroc,39
El Amrani,Aicha,F,1986-05-09,Option C,Marocaine,Kenitra,Belgique,39
Williams,Jennifer,F,1974-10-22,Option A,Marocaine,Lisbonne,Allemagne,51
El Idrissi,Linda,F,1979-09-23,Option A,Canadienne,Fès,Chine,46
Adel,Jean,M,1970-07-24,Option B,Allemande,Bruxelles,Égypte,55
Hassan,Susan,F,1962-07-12,Option A,Française,Toulouse,France,63
Khaled,Youssef,M,1975-09-27,Option B,Marocaine,Marseille,Brésil,50
Hassan,Marc,M,1990-09-06,Option C,Allemande,Paris,USA,35
Miller,Hassan,M,2001-07-02,Option B,Japonaise,Madrid,Espagne,24
Mahmoud,Marc,M,2007-09-28,Option C,Française,Rabat,France,18
Moreau,Rachid,M,1975-01-01,Option A,Espagnole,Madrid,Maroc,50
Essadiq,Robert,M,2007-03-28,Option A,Canadienne,Tokyo,Chine,18
Durand,Claire,F,1984-06-05,Option B,Américaine,Paris,Argentine,41
Richard,Karim,M,2004-02-09,Option C,Française,Casablanca,Allemagne,21
Mohamed,Sarah,F,2004-10-14,Option A,Espagnole,Marseille,Argentine,21
Williams,Amina,F,1990-04-04,Option B,Espagnole,Lyon,Inde,35
Moreau,Luc,M,1981-05-15,Option B,Espagnole,Bordeaux,Portugal,44
Mohamed,Thomas,M,1965-08-26,Option B,Japonaise,Bruxelles,Tunisie,60
Davis,Karim,M,1976-04-16,Option A,Française,New York,Portugal,49
Garcia,John,M,1975-05-28,Option C,Française,Marseille,Canada,50
Bernard,Marwa,F,1980-04-16,Option A,Américaine,Marseille,Maroc,45
Smith,Barbara,F,1966-06-12,Option A,Marocaine,Tétouan,Mexique,59
Garcia,Jessica,F,1967-03-08,Option C,Japonaise,Tanger,Suisse,58
Laurent,Sophie,F,1972-06-10,Option B,Espagnole,Rabat,Belgique,53
Dupont,Karen,F,2002-05-18,Option A,Américaine,Casablanca,Australie,23
Williams,Elizabeth,F,1992-10-10,Option B,Française,Tokyo,Maroc,33
Othmani,Barbara,F,1974-07-18,Option B,Japonaise,Marseille,Espagne,51
El Amrani,Fatima,F,1985-01-07,Option C,Canadienne,Tanger,Espagne,40
Wilson,William,M,1966-05-01,Option C,Française,Marrakech,Espagne,59
Bernard,Nicolas,M,1984-04-28,Option C,Canadienne,Fès,Argentine,41
Mahmoud,Youssef,M,1995-04-10,Option B,Allemande,Casablanca,Maroc,30
Davis,Zineb,F,1990-07-09,Option B,Canadienne,Berlin,Maroc,35
Khaled,Christopher,M,1995-02-28,Option A,Française,Bordeaux,Mexique,30
Essadiq,Mathieu,M,1971-01-02,Option B,Américaine,Berlin,Suisse,54
Moreau,Linda,F,1965-07-10,Option C,Française,Kenitra,Belgique,60
Brown,John,M,1969-06-20,Option C,Française,Bordeaux,Canada,56
Richard,Nicolas,M,1966-01-13,Option C,Allemande,Fès,Inde,59
Miller,Camille,F,1991-01-05,Option C,Espagnole,Fès,UK,34
Wilson,Sophie,F,1993-01-28,Option B,Marocaine,Rome,Mexique,32
Hassan,Ahmed,M,1990-07-16,Option C,Française,New York,Argentine,35
Richard,Hassan,M,1985-11-17,Option A,Allemande,Casablanca,Égypte,40
Davis,Camille,F,1978-01-02,Option B,Américaine,Tétouan,Inde,47
Benali,Ahmed,M,1974-11-28,Option C,Allemande,Genève,Tunisie,51
Williams,Patricia,F,2004-10-03,Option A,Allemande,Tétouan,Inde,21
El Amrani,Mohamed,M,2005-11-17,Option C,Canadienne,Rome,Chine,20
Benali,Christopher,M,2001-09-10,Option B,Marocaine,Fès,Tunisie,24
Miller,Jean,M,1990-08-21,Option B,Marocaine,Berlin,Italie,35
Williams,Laila,F,1966-11-18,Option A,Japonaise,Fès,Espagne,59
Dupont,Jennifer,F,2001-05-06,Option B,Espagnole,Marrakech,Portugal,24
Richard,Susan,F,1968-01-11,Option A,Américaine,Tétouan,France,57
Brown,Omar,M,2002-04-16,Option C,Japonaise,Fès,Portugal,23
Benali,Nicolas,M,1986-09-02,Option B,Espagnole,Tanger,Japon,39
Dupont,Patricia,F,2007-05-01,Option C,Espagnole,Casablanca,Chine,18
Robert,Antoine,M,2004-04-04,Option C,Allemande,Fès,Australie,21
Garcia,Rachid,M,1962-06-26,Option B,Américaine,Londres,Égypte,63
Robert,Omar,M,1965-09-03,Option C,Espagnole,Londres,Canada,60
Laurent,Youssef,M,1979-09-22,Option A,Américaine,Londres,Canada,46
Mohamed,Susan,F,1987-07-12,Option A,Marocaine,Rabat,Allemagne,38
Hassan,Robert,M,1982-10-02,Option A,Marocaine,Agadir,Canada,43
Laurent,Mathieu,M,1994-11-10,Option B,Marocaine,Berlin,Égypte,31
Laurent,Sanae,F,1999-06-06,Option C,Française,New York,Allemagne,26
Adel,Mohamed,M,1961-02-02,Option C,Allemande,Tanger,Argentine,64
Petit,Sanae,F,1996-02-10,Option C,Américaine,Rabat,Chine,29
Dupont,Fatima,F,1966-12-01,Option C,Allemande,Casablanca,France,59
Jones,Barbara,F,2002-05-08,Option A,Espagnole,Kenitra,Inde,23
Wilson,Jennifer,F,1988-02-13,Option B,Américaine,Berlin,Suisse,37
Othmani,Salma,F,1984-05-12,Option A,Américaine,Tokyo,UK,41
Miller,Léa,F,1981-08-10,Option A,Japonaise,Lyon,USA,44
Laurent,Barbara,F,1970-05-18,Option B,Américaine,Fès,Maroc,55
Benali,Camille,F,2000-03-15,Option B,Américaine,Tokyo,UK,25
Wilson,Antoine,M,2007-06-27,Option A,Canadienne,Bruxelles,Allemagne,18
El Idrissi,Amina,F,1984-11-21,Option C,Canadienne,Marrakech,USA,41
Williams,Susan,F,1961-11-20,Option B,Japonaise,Paris,Allemagne,64
Hassan,Rachid,M,2001-04-21,Option B,Française,Lyon,Australie,24
Robert,Antoine,M,1989-02-25,Option A,Marocaine,Lisbonne,Brésil,36
Brown,Nicolas,M,1986-02-10,Option C,Espagnole,Berlin,Allemagne,39
El Amrani,Linda,F,1973-02-26,Option B,Espagnole,Marrakech,Égypte,52
Dupont,Élodie,F,1978-09-14,Option A,Américaine,Berlin,Canada,47
Mohamed,Mehdi,M,1979-03-10,Option B,Allemande,Marrakech,Australie,46
Laurent,Zineb,F,1986-07-04,Option C,Espagnole,Rabat,Japon,39
Robert,Salma,F,1997-06-14,Option A,Canadienne,Marseille,Japon,28
Hassan,Barbara,F,1988-04-26,Option A,Marocaine,Lisbonne,Allemagne,37
Petit,Thomas,M,1979-07-17,Option C,Française,Marseille,France,46
Petit,Julie,F,1967-03-19,Option A,Marocaine,Tanger,Italie,58
Hassan,Patricia,F,1966-01-06,Option C,Américaine,Londres,France,59
Mouline,Sarah,F,1974-11-16,Option A,Marocaine,Madrid,Japon,51
Mohamed,Fatima,F,2007-09-08,Option C,Américaine,Marrakech,Tunisie,18
Smith,Marc,M,1977-11-07,Option B,Japonaise,Tanger,Argentine,48
Brown,Élodie,F,1978-10-24,Option B,Canadienne,Fès,Suisse,47
Othmani,Zineb,F,1960-06-25,Option B,Canadienne,Tétouan,Maroc,65
El Amrani,Hugo,M,1990-03-26,Option A,Américaine,Rabat,USA,35
Davis,Sophie,F,1991-10-09,Option C,Allemande,Oujda,Brésil,34
Williams,John,M,1970-04-23,Option C,Canadienne,Tanger,Espagne,55
Wilson,Julie,F,1994-09-02,Option B,Allemande,Toulouse,Japon,31
Bernard,Laila,F,1985-02-16,Option B,Américaine,Marrakech,Canada,40
Adel,John,M,1983-09-28,Option B,Japonaise,Bordeaux,UK,42
Benali,William,M,1993-03-09,Option C,Américaine,Rome,Argentine,32
El Amrani,Christopher,M,1962-05-22,Option B,Japonaise,Lyon,Tunisie,63
El Amrani,Emma,F,1986-02-08,Option A,Espagnole,Tokyo,Suisse,39
Rodriguez,Joseph,M,2005-11-09,Option B,Canadienne,Meknès,Allemagne,20
Mohamed,Sarah,F,1989-02-06,Option B,Allemande,Tanger,Argentine,36
Richard,Hugo,M,1964-06-08,Option C,Américaine,Paris,Égypte,61
Wilson,Jessica,F,1974-10-28,Option A,Espagnole,Bruxelles,Italie,51
Smith,Marc,M,1973-05-09,Option C,Canadienne,New York,Espagne,52
Garcia,Salma,F,2007-01-09,Option A,Espagnole,Rabat,Espagne,18
Brown,Hassan,M,1987-10-23,Option A,Japonaise,Meknès,Canada,38
Dubois,Hugo,M,1979-04-03,Option B,Américaine,Madrid,Canada,46
Garcia,Youssef,M,2002-10-15,Option B,Espagnole,Paris,Australie,23
Rodriguez,Nicolas,M,1971-11-14,Option C,Espagnole,Madrid,Brésil,54
