id,nom_personne,operateur_telephonique,forfait_abonnement
ABN00000001,Robert Laurent,Vodafone,Vodafone Red
ABN00000002,Michel Miller,Inwi,Inwi Unlimited
ABN00000003,Ali Lazrak,Vodafone,Vodafone Red
ABN00000004,Jessica Davis,Vodafone,Vodafone Red
ABN00000005,Sophie Benali,Vodafone,Vodafone Unlimited
ABN00000006,Chloé Garcia,Orange Maroc,Orange Pro
ABN00000007,Michel Smith,Free Mobile,Free 2€
ABN00000008,David Moreau,Inwi,Inwi Unlimited
ABN00000009,Ahmed Jones,Inwi,Inwi Unlimited
ABN00000010,Michel Ouazzani,Bouygues Telecom,Sensation
ABN00000011,Khadija Durand,Orange Maroc,Orange 80 Go
ABN00000012,Omar Leroy,SFR,SFR Power
ABN00000013,Julie Simon,Bouygues Telecom,Sensation
ABN00000014,Zineb Williams,Maroc Telecom,Forfait Entreprise
ABN00000015,Lisa Idrissi,Orange Maroc,Orange 80 Go
ABN00000016,Aïcha Idrissi,Free Mobile,Free 2€
ABN00000017,Marie Leroy,Orange Maroc,Orange 80 Go
ABN00000018,Jessica El Fassi,Vodafone,Vodafone Unlimited
ABN00000019,Laurent Davis,SFR,SFR Power
ABN00000020,Marie Petit,T-Mobile,Magenta Max
ABN00000021,Nicolas Filali,Maroc Telecom,Jawal 50 Go
ABN00000022,Hassan Ouazzani,Vodafone,Vodafone Red
ABN00000023,Zineb Petit,Inwi,Inwi 30 Go
ABN00000024,Zineb Williams,Inwi,Inwi 30 Go
ABN00000025,Youssef Miller,T-Mobile,Magenta Max
ABN00000026,Hassan Ouazzani,Vodafone,Vodafone Unlimited
ABN00000027,Emily Smith,Bouygues Telecom,B&YOU 100 Go
ABN00000028,Camille Jones,Inwi,Inwi 60 Go
ABN00000029,Thomas Williams,Maroc Telecom,Jawal Illimité
ABN00000030,James El Fassi,Inwi,Inwi 30 Go
ABN00000031,Youssef Leroy,Bouygues Telecom,B&YOU 100 Go
ABN00000032,Leila Miller,T-Mobile,Magenta
ABN00000033,Mehdi Leroy,Inwi,Inwi Unlimited
ABN00000034,Sarah Miller,Maroc Telecom,Forfait Entreprise
ABN00000035,Sarah Idrissi,SFR,SFR 80 Go
ABN00000036,Robert Filali,Orange France,Orange 5G 100 Go
ABN00000037,Sarah Sefrioui,Inwi,Inwi 60 Go
ABN00000038,Léa Benali,T-Mobile,Magenta
ABN00000039,Aïcha Simon,Orange France,Orange 5G Unlimited
ABN00000040,Ali Simon,T-Mobile,Magenta
ABN00000041,John Alaoui,T-Mobile,Magenta
ABN00000042,Karim El Amrani,Bouygues Telecom,Sensation
ABN00000043,Zineb Moreau,T-Mobile,Magenta Max
ABN00000044,James Smith,Inwi,Inwi 60 Go
ABN00000045,Camille Filali,Free Mobile,Free 5G
ABN00000046,Sarah Petit,T-Mobile,Magenta Max
ABN00000047,Nora Miller,Orange Maroc,Orange Max
ABN00000048,James Dupont,Maroc Telecom,Jawal 100 Go
ABN00000049,Fatima Simon,Free Mobile,Free 2€
ABN00000050,James Garcia,Maroc Telecom,Jawal 50 Go
ABN00000051,Pierre Benali,SFR,SFR Power
ABN00000052,Emma Garcia,Free Mobile,Free 5G
ABN00000053,Khadija Lazrak,Vodafone,Vodafone Red
ABN00000054,Jean Garcia,Vodafone,Vodafone Red
ABN00000055,Emily Benjelloun,Free Mobile,Free 2€
ABN00000056,Sofia Smith,T-Mobile,Magenta Max
ABN00000057,Aïcha Kettani,Inwi,Inwi Unlimited
ABN00000058,Jessica Bernard,Inwi,Inwi Unlimited
ABN00000059,Pierre Dubois,Bouygues Telecom,Sensation
ABN00000060,John Davis,Bouygues Telecom,Sensation
ABN00000061,Lisa Alaoui,T-Mobile,Magenta
ABN00000062,Laurent Michel,Inwi,Inwi Unlimited
ABN00000063,Sofia Leroy,T-Mobile,Magenta Max
ABN00000064,Fatima Alaoui,SFR,SFR 80 Go
ABN00000065,Sarah Ouazzani,T-Mobile,Magenta
ABN00000066,Pierre Kettani,Inwi,Inwi 60 Go
ABN00000067,John Petit,Orange France,Orange 5G 100 Go
ABN00000068,Zineb Brown,Free Mobile,Free 5G
ABN00000069,Julie Williams,T-Mobile,Magenta
ABN00000070,David Laurent,Orange Maroc,Orange Pro
ABN00000071,Marie Benali,Free Mobile,Free 2€
ABN00000072,Sofia Brown,Maroc Telecom,Forfait Entreprise
ABN00000073,John El Fassi,SFR,SFR Power
ABN00000074,Julie Fassi,Bouygues Telecom,B&YOU 100 Go
ABN00000075,Jean Smith,Inwi,Inwi 60 Go
ABN00000076,Sophie Lefebvre,Free Mobile,Free 5G
ABN00000077,Zineb Moreau,Orange Maroc,Orange 40 Go
ABN00000078,Chloé Smith,Maroc Telecom,Jawal 50 Go
ABN00000079,Pierre Idrissi,Inwi,Inwi 30 Go
ABN00000080,Jean Simon,SFR,SFR Power
ABN00000081,Michael Jones,Vodafone,Vodafone Red
ABN00000082,Alexandre Williams,Maroc Telecom,Forfait Entreprise
ABN00000083,Michel Garcia,Bouygues Telecom,B&YOU 100 Go
ABN00000084,Ahmed Martin,T-Mobile,Magenta Max
ABN00000085,Alexandre El Amrani,Vodafone,Vodafone Unlimited
ABN00000086,Camille Garcia,Free Mobile,Free 2€
ABN00000087,Fatima Moreau,Orange Maroc,Orange 80 Go
ABN00000088,Jean Davis,Maroc Telecom,Jawal 50 Go
ABN00000089,Robert Laurent,Bouygues Telecom,Sensation
ABN00000090,Michael Durand,Vodafone,Vodafone Red
ABN00000091,Hassan Brown,Orange France,Orange 5G 100 Go
ABN00000092,Zineb Kettani,Inwi,Inwi Unlimited
ABN00000093,Mehdi Simon,Orange Maroc,Orange 80 Go
ABN00000094,Sarah Richard,Free Mobile,Free 2€
ABN00000095,David Robert,Free Mobile,Free 2€
ABN00000096,Aïcha Filali,Free Mobile,Free 2€
ABN00000097,James Smith,Vodafone,Vodafone Red
ABN00000098,Youssef Miller,Orange France,Orange 5G Unlimited
ABN00000099,Sarah Lefebvre,Inwi,Inwi Unlimited
ABN00000100,Lisa Kettani,Orange Maroc,Orange Pro
ABN00000101,Chloé Bernard,Maroc Telecom,Forfait Entreprise
ABN00000102,Pierre Simon,Bouygues Telecom,Sensation
ABN00000103,James Leroy,SFR,SFR Power
ABN00000104,Laurent Ouazzani,SFR,SFR 80 Go
ABN00000105,Mohammed Johnson,Free Mobile,Free 5G
ABN00000106,David Davis,SFR,SFR 80 Go
ABN00000107,Sofia Miller,SFR,SFR Power
ABN00000108,Nicolas El Amrani,Inwi,Inwi 30 Go
ABN00000109,Sophie Laurent,SFR,SFR 80 Go
ABN00000110,Chloé Tazi,SFR,SFR 80 Go
ABN00000111,Jessica Smith,SFR,SFR 80 Go
ABN00000112,Salma Tazi,Orange France,Orange 5G Unlimited
ABN00000113,Alexandre Bennani,Inwi,Inwi 60 Go
ABN00000114,Sarah Alaoui,Vodafone,Vodafone Red
ABN00000115,Khadija Kettani,Vodafone,Vodafone Unlimited
ABN00000116,Fatima Simon,Orange France,Orange 5G Unlimited
ABN00000117,Nora Williams,Maroc Telecom,Jawal 50 Go
ABN00000118,James Chraibi,Inwi,Inwi 30 Go
ABN00000119,John Davis,Orange Maroc,Orange 40 Go
ABN00000120,Michael Richard,Maroc Telecom,Jawal 100 Go
ABN00000121,Zineb Laurent,Orange Maroc,Orange Max
ABN00000122,Hassan Idrissi,SFR,SFR Power
ABN00000123,Ali Laurent,Vodafone,Vodafone Unlimited
ABN00000124,David Thomas,T-Mobile,Magenta Max
ABN00000125,Salma Jones,T-Mobile,Magenta Max
ABN00000126,Michael Williams,Orange France,Orange 5G Unlimited
ABN00000127,Robert Garcia,Vodafone,Vodafone Red
ABN00000128,Sarah Jones,Maroc Telecom,Jawal Illimité
ABN00000129,Karim Richard,T-Mobile,Magenta
ABN00000130,Chloé Dupont,Maroc Telecom,Jawal 100 Go
ABN00000131,Julie Durand,Free Mobile,Free 2€
ABN00000132,Pierre Brown,T-Mobile,Magenta
ABN00000133,Nora Ouazzani,Bouygues Telecom,Sensation
ABN00000134,Leila Michel,Orange France,Orange 5G 100 Go
ABN00000135,Sofia Tazi,Inwi,Inwi 30 Go
ABN00000136,Michel Brown,SFR,SFR 80 Go
ABN00000137,Sofia Miller,SFR,SFR Power
ABN00000138,Robert El Fassi,SFR,SFR 80 Go
ABN00000139,Laurent Laurent,Orange Maroc,Orange Max
ABN00000140,Nora Ouazzani,Maroc Telecom,Jawal 50 Go
ABN00000141,Ashley Sefrioui,Vodafone,Vodafone Unlimited
ABN00000142,Omar Moreau,Orange Maroc,Orange 40 Go
ABN00000143,Nicolas Jones,Free Mobile,Free 2€
ABN00000144,Zineb Alaoui,Free Mobile,Free 5G
ABN00000145,Jean Sefrioui,T-Mobile,Magenta
ABN00000146,Khadija Brown,Free Mobile,Free 5G
ABN00000147,Alexandre Bernard,Free Mobile,Free 2€
ABN00000148,Thomas Bennani,Inwi,Inwi Unlimited
ABN00000149,Ahmed Berrada,Orange Maroc,Orange Pro
ABN00000150,Julie Simon,Vodafone,Vodafone Red
ABN00000151,Robert Alaoui,Inwi,Inwi 30 Go
ABN00000152,Léa Durand,Vodafone,Vodafone Red
ABN00000153,Ashley Benjelloun,SFR,SFR Power
ABN00000154,Michel Lazrak,SFR,SFR Power
ABN00000155,Michael Bernard,Orange France,Orange 5G 100 Go
ABN00000156,Marie El Fassi,Maroc Telecom,Jawal 50 Go
ABN00000157,Ahmed Kettani,Bouygues Telecom,B&YOU 100 Go
ABN00000158,Ali Chraibi,Vodafone,Vodafone Unlimited
ABN00000159,Nora Petit,SFR,SFR Power
ABN00000160,Léa Brown,Vodafone,Vodafone Unlimited
ABN00000161,Léa Simon,SFR,SFR 80 Go
ABN00000162,Jessica Moreau,Free Mobile,Free 2€
ABN00000163,Jean Ouazzani,Maroc Telecom,Jawal 50 Go
ABN00000164,Julie Berrada,Inwi,Inwi 30 Go
ABN00000165,Aïcha Martin,Inwi,Inwi 30 Go
ABN00000166,David Benali,Vodafone,Vodafone Unlimited
ABN00000167,Youssef Smith,Free Mobile,Free 2€
ABN00000168,Marie Garcia,Maroc Telecom,Jawal Illimité
ABN00000169,Michel Leroy,T-Mobile,Magenta Max
ABN00000170,Thomas Berrada,Maroc Telecom,Jawal 100 Go
ABN00000171,Michael Alaoui,SFR,SFR Power
ABN00000172,Aïcha Simon,Maroc Telecom,Jawal 50 Go
ABN00000173,Alexandre Tazi,Free Mobile,Free 2€
ABN00000174,Laurent Jones,SFR,SFR 80 Go
ABN00000175,Salma Bennani,Inwi,Inwi 30 Go
ABN00000176,Michel El Fassi,T-Mobile,Magenta Max
ABN00000177,Mohammed Berrada,Orange France,Orange 5G Unlimited
ABN00000178,Mohammed Davis,Orange Maroc,Orange Pro
ABN00000179,Alexandre Fassi,Bouygues Telecom,Sensation
ABN00000180,Emily El Amrani,Orange Maroc,Orange Pro
ABN00000181,Mohammed Tazi,T-Mobile,Magenta
ABN00000182,Laurent Filali,SFR,SFR 80 Go
ABN00000183,Leila Benali,Inwi,Inwi Unlimited
ABN00000184,Ashley Johnson,Free Mobile,Free 5G
ABN00000185,Emily Martin,Inwi,Inwi Unlimited
ABN00000186,Emily Garcia,Maroc Telecom,Forfait Entreprise
ABN00000187,Mehdi Lefebvre,Bouygues Telecom,Sensation
ABN00000188,Jean Tazi,Orange France,Orange 5G Unlimited
ABN00000189,Jean Bennani,Maroc Telecom,Forfait Entreprise
ABN00000190,Julie Petit,SFR,SFR Power
ABN00000191,Aïcha Benali,Inwi,Inwi Unlimited
ABN00000192,Laurent Kettani,Free Mobile,Free 5G
ABN00000193,Zineb Idrissi,Vodafone,Vodafone Unlimited
ABN00000194,David El Amrani,Inwi,Inwi Unlimited
ABN00000195,Nicolas Garcia,Orange Maroc,Orange 40 Go
ABN00000196,Pierre Thomas,SFR,SFR Power
ABN00000197,Léa Robert,SFR,SFR Power
ABN00000198,Mohammed Tazi,T-Mobile,Magenta Max
ABN00000199,Emma Johnson,Maroc Telecom,Jawal 100 Go
ABN00000200,Emma Moreau,T-Mobile,Magenta Max
ABN00000201,Sophie Lefebvre,Maroc Telecom,Jawal 100 Go
ABN00000202,Jessica Alaoui,Vodafone,Vodafone Red
ABN00000203,Michael Filali,Vodafone,Vodafone Unlimited
ABN00000204,Leila Leroy,Bouygues Telecom,Sensation
ABN00000205,Camille Benali,Vodafone,Vodafone Red
ABN00000206,Hassan El Amrani,Bouygues Telecom,Sensation
ABN00000207,Marie Garcia,Inwi,Inwi Unlimited
ABN00000208,Mehdi Durand,Bouygues Telecom,B&YOU 100 Go
ABN00000209,Léa Bennani,Bouygues Telecom,B&YOU 100 Go
ABN00000210,Jean Miller,Free Mobile,Free 5G
ABN00000211,David Dupont,Orange France,Orange 5G 100 Go
ABN00000212,Khadija Bennani,Inwi,Inwi 30 Go
ABN00000213,Marie Brown,Free Mobile,Free 5G
ABN00000214,Zineb Davis,Maroc Telecom,Forfait Entreprise
ABN00000215,Pierre Jones,Free Mobile,Free 5G
ABN00000216,Emma Johnson,Vodafone,Vodafone Red
ABN00000217,Aïcha Jones,T-Mobile,Magenta
ABN00000218,Sophie Thomas,Free Mobile,Free 5G
ABN00000219,Khadija Lefebvre,Vodafone,Vodafone Red
ABN00000220,Omar El Amrani,Inwi,Inwi Unlimited
